序号,试卷ID,试卷名称,题目数,总分,人数,模拟均分,模拟得分率,成绩表文件,源试卷JSON
37,2025_a1ea7c3d,2025年山西省中考数学试卷,23,120,42,66,0.55,37_2025_a1ea7c3d_山西省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_a1ea7c3d\paper.json
38,2025_f787c4a7,2025年陕西省中考数学试卷,26,120,43,63.4,0.528,38_2025_f787c4a7_陕西省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_f787c4a7\paper.json
39,2025_7de27346,2025年陕西省中考数学试卷（副卷）,26,120,44,62.9,0.524,39_2025_7de27346_陕西省中考数学试卷（副卷）_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_7de27346\paper.json
40,2025_000fc7a7,2025年上海市中考数学试卷,25,150,45,82.1,0.547,40_2025_000fc7a7_上海市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_000fc7a7\paper.json
41,2025_c068275d,2025年四川省巴中市中考数学试卷,24,150,46,85.2,0.568,41_2025_c068275d_四川省巴中市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_c068275d\paper.json
42,2025_8b7b07b5,2025年四川省甘孜州中考数学试卷,28,150,47,83.8,0.559,42_2025_8b7b07b5_四川省甘孜州中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_8b7b07b5\paper.json
43,2025_b212242e,2025年四川省广元市中考数学试卷,26,150,48,77.7,0.518,43_2025_b212242e_四川省广元市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_b212242e\paper.json
44,2025_57fe3f08,2025年四川省绵阳市中考数学试卷,24,134,49,74.9,0.559,44_2025_57fe3f08_四川省绵阳市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_57fe3f08\paper.json
45,2025_6598924c,2025年四川省攀枝花市中考数学试卷,24,150,50,88.7,0.591,45_2025_6598924c_四川省攀枝花市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_6598924c\paper.json
46,2025_da61f8f7,2025年四川省雅安市中考数学试卷,24,120,42,64.1,0.534,46_2025_da61f8f7_四川省雅安市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_da61f8f7\paper.json
47,2025_bc6b0f88,2025年四川省资阳市中考数学试卷,24,150,43,79.8,0.532,47_2025_bc6b0f88_四川省资阳市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_bc6b0f88\paper.json
48,2025_fe50611f,2025年天津市中考数学试卷,25,120,44,66.3,0.553,48_2025_fe50611f_天津市中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_fe50611f\paper.json
49,2025_3b83d739,2025年西藏中考数学试卷,26,120,45,65.4,0.545,49_2025_3b83d739_西藏中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_3b83d739\paper.json
50,2025_e9bc9879,2025年浙江省中考数学试卷,24,120,46,65.2,0.543,50_2025_e9bc9879_浙江省中考数学_成绩表.xlsx,C:\Users\mkxue\Desktop\Lumos\campus-system-p2\data\word_cut_outputs\2025_e9bc9879\paper.json
